54.210.173.210 - - "2018-02-21 08:21:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/51 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:22:15" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/51/48 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:22:45" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/51 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:24:21" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/52 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:25:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/52/49 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:25:34" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/52 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:26:04" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/4 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:26:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/4/2 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:27:07" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/4 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:27:37" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/7 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:28:07" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/7/4 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:28:38" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/7 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
176.193.124.174 - - "2018-02-21 08:29:10" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 YaBrowser/17.11.1.988 Yowser/2.5 Safari/537.36"
54.210.173.210 - - "2018-02-21 08:29:21" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.91 bot - "2018-02-21 08:29:29" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 08:30:21" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/24 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:30:52" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:31:22" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/50/47 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:31:52" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:32:22" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/80 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:32:52" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/80/64 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:33:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/80 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 08:34:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/49 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
